133,98,30,7.05
172,139,106,6.8
176,152,114,6.63
158,132,51,6.64
197,164,123,8.35
190,147,99,7.35
191,162,145,7.35
167,151,153,7.49
152,121,68,7.38
148,118,48,7.4
133,103,55,7.25
176,137,81,7.3
203,155,115,7.83
169,136,96,7.59
175,134,102,7.51
162,128,88,7.2
162,131,72,7.36
168,128,76,7.35
156,119,66,7.38
163,131,93,7.44
182,146,110,7.68
175,138,93,7.57
207,186,157,7.5
186,144,94,7.22
227,209,173,7.96
187,155,117,7.99
226,186,125,7.99
196,146,109,6.9
203,168,140,7.56
155,137,89,6.75
157,134,80,6.63
179,129,67,6.43
230,181,123,7.9
208,161,119,7.04
196,150,101,6.9
176,139,69,6.48
189,136,50,5.52
128,105,27,6.96
185,155,91,6.62
152,122,52,6.42
229,210,152,6.8
255,220,162,7.09
176,169,123,5.58
173,128,43,5.52
169,145,85,6.06
189,164,110,6.53
167,154,99,6.58
186,154,97,6.5
164,160,113,6.45
158,150,111,7.24
